Mã sinh viên,Ngày,Tên,Danh Mục,Số Tiền,Ghi Chú
B24DCCC058,2024-12-04,Phạm Tiến Đạt,Học tập,171501,Khoản chi đột xuất
B24DCCC058,2024-09-19,Phạm Tiến Đạt,Học tập,402226,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-12-23,Phạm Tiến Đạt,Khác,34873,Thanh toán dịch vụ
B24DCCC058,2024-03-05,Phạm Tiến Đạt,Giải trí,304853,Khoản chi đột xuất
B24DCCC058,2024-05-01,Phạm Tiến Đạt,Học tập,334981,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-16,Phạm Tiến Đạt,Ăn uống,413986,Khoản chi đột xuất
B24DCCC058,2024-03-06,Phạm Tiến Đạt,Mua sắm,321485,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-26,Phạm Tiến Đạt,Di chuyển,463485,Khoản chi đột xuất
B24DCCC058,2024-07-15,Phạm Tiến Đạt,Học tập,80188,Thanh toán dịch vụ
B24DCCC058,2024-07-15,Phạm Tiến Đạt,Di chuyển,198742,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-18,Phạm Tiến Đạt,Học tập,22036,Thanh toán dịch vụ
B24DCCC058,2024-11-08,Phạm Tiến Đạt,Giải trí,346827,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-05,Phạm Tiến Đạt,Học tập,388596,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-06,Phạm Tiến Đạt,Di chuyển,342893,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-03-21,Phạm Tiến Đạt,Di chuyển,321121,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-24,Phạm Tiến Đạt,Y tế,350739,Khoản chi đột xuất
B24DCCC058,2024-12-17,Phạm Tiến Đạt,Mua sắm,324094,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-17,Phạm Tiến Đạt,Y tế,211510,Khoản chi đột xuất
B24DCCC058,2024-08-03,Phạm Tiến Đạt,Giải trí,352171,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-02,Phạm Tiến Đạt,Giải trí,407398,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-24,Phạm Tiến Đạt,Di chuyển,177549,Khoản chi đột xuất
B24DCCC058,2024-11-01,Phạm Tiến Đạt,Di chuyển,380077,Khoản chi đột xuất
B24DCCC058,2024-09-07,Phạm Tiến Đạt,Khác,154464,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-14,Phạm Tiến Đạt,Di chuyển,281196,Khoản chi đột xuất
B24DCCC058,2024-12-10,Phạm Tiến Đạt,Ăn uống,482672,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-06,Phạm Tiến Đạt,Khác,416931,Khoản chi đột xuất
B24DCCC058,2024-07-25,Phạm Tiến Đạt,Giải trí,383205,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-09,Phạm Tiến Đạt,Học tập,477940,Chi phí cần thiết trong tháng
B24DCCC058,2024-01-27,Phạm Tiến Đạt,Ăn uống,155631,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-07,Phạm Tiến Đạt,Khác,358931,Khoản chi đột xuất
B24DCCC058,2024-12-18,Phạm Tiến Đạt,Di chuyển,83374,Chi phí cần thiết trong tháng
B24DCCC058,2024-09-08,Phạm Tiến Đạt,Giải trí,44455,Khoản chi đột xuất
B24DCCC058,2024-07-31,Phạm Tiến Đạt,Học tập,139009,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-03,Phạm Tiến Đạt,Mua sắm,31681,Thanh toán dịch vụ
B24DCCC058,2024-08-30,Phạm Tiến Đạt,Di chuyển,107260,Khoản chi đột xuất
B24DCCC058,2024-01-27,Phạm Tiến Đạt,Di chuyển,440613,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-21,Phạm Tiến Đạt,Ăn uống,499462,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-07-31,Phạm Tiến Đạt,Y tế,161466,Khoản chi đột xuất
B24DCCC058,2024-07-13,Phạm Tiến Đạt,Di chuyển,262400,Khoản chi đột xuất
B24DCCC058,2024-10-23,Phạm Tiến Đạt,Y tế,33635,Khoản chi đột xuất
B24DCCC058,2024-12-01,Phạm Tiến Đạt,Di chuyển,315001,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-13,Phạm Tiến Đạt,Khác,189434,Khoản chi đột xuất
B24DCCC058,2024-01-14,Phạm Tiến Đạt,Học tập,438577,Chi phí cần thiết trong tháng
B24DCCC058,2024-01-29,Phạm Tiến Đạt,Mua sắm,278287,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-06,Phạm Tiến Đạt,Y tế,63250,Thanh toán dịch vụ
B24DCCC058,2024-12-27,Phạm Tiến Đạt,Y tế,71542,Chi phí cần thiết trong tháng
B24DCCC058,2024-12-19,Phạm Tiến Đạt,Y tế,22830,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-07,Phạm Tiến Đạt,Ăn uống,82113,Khoản chi đột xuất
B24DCCC058,2024-05-16,Phạm Tiến Đạt,Mua sắm,289479,Khoản chi đột xuất
B24DCCC058,2024-05-21,Phạm Tiến Đạt,Khác,417279,Thanh toán dịch vụ
B24DCCC058,2024-04-22,Phạm Tiến Đạt,Y tế,228435,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-12-13,Phạm Tiến Đạt,Khác,112654,Chi phí cần thiết trong tháng
B24DCCC058,2024-09-20,Phạm Tiến Đạt,Học tập,475703,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-11-29,Phạm Tiến Đạt,Ăn uống,251637,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-31,Phạm Tiến Đạt,Mua sắm,446781,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-07,Phạm Tiến Đạt,Giải trí,247452,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-02-28,Phạm Tiến Đạt,Học tập,349554,Thanh toán dịch vụ
B24DCCC058,2024-02-04,Phạm Tiến Đạt,Mua sắm,493156,Chi phí cần thiết trong tháng
B24DCCC058,2024-01-07,Phạm Tiến Đạt,Y tế,179272,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-26,Phạm Tiến Đạt,Giải trí,291143,Thanh toán dịch vụ
B24DCCC058,2024-08-23,Phạm Tiến Đạt,Ăn uống,470847,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-24,Phạm Tiến Đạt,Ăn uống,38253,Chi phí cần thiết trong tháng
B24DCCC058,2024-02-06,Phạm Tiến Đạt,Y tế,135774,Khoản chi đột xuất
B24DCCC058,2024-03-10,Phạm Tiến Đạt,Ăn uống,382218,Thanh toán dịch vụ
B24DCCC058,2024-06-18,Phạm Tiến Đạt,Giải trí,373640,Thanh toán dịch vụ
B24DCCC058,2024-10-27,Phạm Tiến Đạt,Ăn uống,392896,Khoản chi đột xuất
B24DCCC058,2024-10-10,Phạm Tiến Đạt,Giải trí,189402,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-30,Phạm Tiến Đạt,Khác,70993,Chi phí cần thiết trong tháng
B24DCCC058,2024-06-28,Phạm Tiến Đạt,Ăn uống,413050,Thanh toán dịch vụ
B24DCCC058,2024-01-25,Phạm Tiến Đạt,Học tập,329243,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-12,Phạm Tiến Đạt,Khác,29323,Khoản chi đột xuất
B24DCCC058,2024-08-25,Phạm Tiến Đạt,Di chuyển,130392,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-07-14,Phạm Tiến Đạt,Học tập,343855,Khoản chi đột xuất
B24DCCC058,2024-03-13,Phạm Tiến Đạt,Y tế,156683,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-16,Phạm Tiến Đạt,Học tập,383568,Khoản chi đột xuất
B24DCCC058,2024-09-18,Phạm Tiến Đạt,Ăn uống,366167,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-05,Phạm Tiến Đạt,Y tế,336850,Thanh toán dịch vụ
B24DCCC058,2024-06-15,Phạm Tiến Đạt,Di chuyển,325172,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-11,Phạm Tiến Đạt,Ăn uống,259548,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-07-17,Phạm Tiến Đạt,Học tập,121343,Thanh toán dịch vụ
